Source,FormDefectName,AuditProposedParentCode,AuditProposedLeafCode,AuditProposedLeafName,LiveDBParentCode,LiveDBLeafCode,LiveDBLeafName,LineTypeCode,ReconciliationStatus,ReconciliationNote
Plant1-Claude,Rust/Corrosion,PRETREAT,PRETREAT-RUST,Rust/Corrosion,COR,COR-RUS,Red Rust / Rust Through,ECOAT,MAPPED,Audit "PRETREAT" vs DB "COR"
Plant1-ChatGPT,Rust,CORROSION,RUST,Rust,COR,COR-RUS,Red Rust / Rust Through,BOTH,MAPPED,ChatGPT correctly placed in CORROSION
Plant1-Claude,Water Marks/Spots,PRETREAT,PRETREAT-WATER,Water Marks/Spots,CON,CON-DST,Dirt / Dust / Particulate Contamination,ECOAT,REVIEW,Water spots from rinse residue — not corrosion; maps to contamination or needs new leaf
Plant1-ChatGPT,Water Spots,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,CON,CON-DST,Dirt / Dust / Particulate Contamination,ECOAT,REVIEW,Water marks may need dedicated leaf under CON or TEX
Plant1-ChatGPT,Water,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,CON,CON-DST,Dirt / Dust / Particulate Contamination,POWDER,REVIEW,Same review needed
Plant1-ChatGPT,Water Marks,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,CON,CON-DST,Dirt / Dust / Particulate Contamination,ECOAT,REVIEW,Polycon variant — same review
Plant1-Claude,Dirt/Debris,CONTAMINATION,CONTAM-DIRT,Dirt/Debris,CON,CON-DST,Dirt / Dust / Particulate Contamination,POWDER,EXACT,Direct match
Plant1-Claude,Dirt/Debris,CONTAMINATION,CONTAM-DIRT,Dirt/Debris,CON,CON-DST,Dirt / Dust / Particulate Contamination,ECOAT,EXACT,Direct match
Plant1-ChatGPT,Debris,CONTAMINATION,DEBRIS,Debris,CON,CON-DST,Dirt / Dust / Particulate Contamination,POWDER,EXACT,Same target
Plant1-ChatGPT,DIRT,CONTAMINATION,DIRT,Dirt / Particles,CON,CON-DST,Dirt / Dust / Particulate Contamination,ECOAT,EXACT,Same target
Plant1-ChatGPT,Dirt on Track,CONTAMINATION,DIRT,Dirt / Particles,CON,CON-DST,Dirt / Dust / Particulate Contamination,UNKNOWN,EXACT,Location-specific variant; normalize to CON-DST + location metadata
Plant1-ChatGPT,Dirt on Pulley,CONTAMINATION,DIRT,Dirt / Particles,CON,CON-DST,Dirt / Dust / Particulate Contamination,UNKNOWN,EXACT,Location-specific variant
Plant1-ChatGPT,Dirt on Pully,CONTAMINATION,DIRT,Dirt / Particles,CON,CON-DST,Dirt / Dust / Particulate Contamination,UNKNOWN,EXACT,Typo variant of Dirt on Pulley
Plant1-ChatGPT,Cluster of Dirt,CONTAMINATION,DIRT,Dirt / Particles,CON,CON-DST,Dirt / Dust / Particulate Contamination,UNKNOWN,EXACT,AGS variant
Plant1-ChatGPT,Discoloured dirt / spec,APPEARANCE,OFF-COLOR,Off Color / Discoloration,APP,APP-COL,Color Mismatch / Wrong Shade,UNKNOWN,MAPPED,Discoloration maps to APP-COL
Plant1-Claude,General Contamination,CONTAMINATION,CONTAM-GENERAL,General Contamination,CON,CON-FOI,Foreign Object Inclusion (Embedded),POWDER,MAPPED,Catch-all maps to FOI
Plant1-ChatGPT,Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),CON,CON-FOI,Foreign Object Inclusion (Embedded),POWDER,MAPPED,Same target
Plant1-Claude,Oil Contamination,CONTAMINATION,CONTAM-OIL,Oil Contamination,CON,CON-FIS,Fisheye / Cratering (Surface Tension),POWDER,REVIEW,Oil causes fisheyes; could map to CON-FIS or need new CON-OIL leaf
Plant1-ChatGPT,Oil,CONTAMINATION,OIL,Oil Contamination,CON,CON-FIS,Fisheye / Cratering (Surface Tension),UNKNOWN,REVIEW,Same review — oil contamination may need dedicated leaf
Plant1-ChatGPT,OIL,CONTAMINATION,OIL,Oil Contamination,CON,CON-FIS,Fisheye / Cratering (Surface Tension),UNKNOWN,REVIEW,ABM variant same review
Plant1-Claude,Fiber/Foreign Material,CONTAMINATION,CONTAM-FIBER,Fiber/Foreign Material,CON,CON-FOI,Foreign Object Inclusion (Embedded),POWDER,EXACT,Fiber is a type of foreign inclusion
Plant1-ChatGPT,Fiber,CONTAMINATION,FIBER,Fiber / Lint,CON,CON-FOI,Foreign Object Inclusion (Embedded),UNKNOWN,EXACT,Same target
Plant1-Claude,Discoloration/Off Color,CONTAMINATION,CONTAM-DISCOLOR,Discoloration/Off Color,APP,APP-COL,Color Mismatch / Wrong Shade,POWDER,MAPPED,Audit "CONTAMINATION" vs DB "APP" (Appearance) — DB correct
Plant1-ChatGPT,Off colour (Discoloured),APPEARANCE,OFF-COLOR,Off Color / Discoloration,APP,APP-COL,Color Mismatch / Wrong Shade,UNKNOWN,MAPPED,ChatGPT correctly placed in APPEARANCE
Plant1-ChatGPT,Off color,APPEARANCE,OFF-COLOR,Off Color / Discoloration,APP,APP-COL,Color Mismatch / Wrong Shade,UNKNOWN,MAPPED,AGS GP12 variant
Plant1-Claude,Hook Mark,HANDLING,HANDLING-HOOK,Hook Mark,DAM,DAM-RCK,Rack / Hanger / Contact Marks,POWDER,EXACT,Direct match
Plant1-ChatGPT,Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,DAM,DAM-RCK,Rack / Hanger / Contact Marks,POWDER,EXACT,ChatGPT correctly placed in DAMAGE
Plant1-ChatGPT,Large Hook marks,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,DAM,DAM-RCK,Rack / Hanger / Contact Marks,UNKNOWN,EXACT,ABM variant same target
Plant1-Claude,Hit Mark/Impact,HANDLING,HANDLING-HIT,Hit Mark/Impact,DAM,DAM-SCR,Scratch / Abrasion Damage,POWDER,MAPPED,Hit mark consolidated into scratch/scuff category in DB
Plant1-ChatGPT,Hit Mark,DAMAGE,HIT-MARK,Hit/Impact Mark,DAM,DAM-SCR,Scratch / Abrasion Damage,UNKNOWN,MAPPED,Same target
Plant1-ChatGPT,Hit mark,DAMAGE,HIT-MARK,Hit/Impact Mark,DAM,DAM-SCR,Scratch / Abrasion Damage,UNKNOWN,MAPPED,JAC/AGS variant
Plant1-ChatGPT,Hit part,DAMAGE,HIT-MARK,Hit/Impact Mark,DAM,DAM-SCR,Scratch / Abrasion Damage,UNKNOWN,MAPPED,AGS 3pc variant
Plant1-Claude,Touch Mark,HANDLING,HANDLING-TOUCH,Touch Mark,DAM,DAM-SCR,Scratch / Abrasion Damage,POWDER,MAPPED,Touch mark consolidated into scratch/scuff in DB
Plant1-ChatGPT,Touch Mark,DAMAGE,TOUCH-MARK,Touch Mark,DAM,DAM-SCR,Scratch / Abrasion Damage,UNKNOWN,MAPPED,Same target
Plant1-Claude,Scratch/Damage,HANDLING,HANDLING-SCRATCH,Scratch/Damage,DAM,DAM-SCR,Scratch / Abrasion Damage,POWDER,EXACT,Direct match
Plant1-Claude,Scratch/Damage,HANDLING,HANDLING-SCRATCH,Scratch/Damage,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,EXACT,Direct match
Plant1-ChatGPT,Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,DAM,DAM-SCR,Scratch / Abrasion Damage,BOTH,EXACT,Same target
Plant1-ChatGPT,Suface Scratches,DAMAGE,SCRATCH,Scratch / Surface Damage,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,EXACT,Typo variant same target
Plant1-ChatGPT,Scratches,DAMAGE,SCRATCH,Scratch / Surface Damage,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,EXACT,Polycon variant
Plant1-ChatGPT,Sanding marks,SUBSTRATE,SANDING-MARKS,Sanding Marks,DAM,DAM-SCR,Scratch / Abrasion Damage,UNKNOWN,MAPPED,Sanding marks are mechanical damage
Plant1-Claude,Dropped/Dent,HANDLING,HANDLING-DROP,Dropped/Dent,DAM,DAM-CRK,Substrate Crack / Fracture (Material),ECOAT,MAPPED,Dent/drop maps to crack/chip category
Plant1-ChatGPT,Dent,DAMAGE,DENT,Dent,DAM,DAM-CRK,Substrate Crack / Fracture (Material),ECOAT,MAPPED,Same target
Plant1-ChatGPT,Bent,DAMAGE,BENT,Bent,DAM,DAM-CRK,Substrate Crack / Fracture (Material),ECOAT,MAPPED,Deformation maps to crack/chip
Plant1-ChatGPT,Part dropped,DAMAGE,DROP,Dropped,DAM,DAM-CRK,Substrate Crack / Fracture (Material),UNKNOWN,MAPPED,Same target
Plant1-Claude,Stuck Parts,HANDLING,HANDLING-STUCK,Stuck Parts,DAM,DAM-RCK,Rack / Hanger / Contact Marks,POWDER,MAPPED,Parts stuck on rack — rack/contact mark category
Plant1-Claude,Tight Clip/Fitment,HANDLING,HANDLING-CLIP,Tight Clip/Fitment,MAS,MAS-PLG,Plugged Hole / Thread / Feature Blockage,POWDER,MAPPED,Warren-specific; clip interference is masking/dimensional issue
Plant1-ChatGPT,Tight Clip Top,DAMAGE,CLIP-MARK,Clip Mark,MAS,MAS-PLG,Plugged Hole / Thread / Feature Blockage,UNKNOWN,MAPPED,Same target
Plant1-ChatGPT,Tight Clip Bottom,DAMAGE,CLIP-MARK,Clip Mark,MAS,MAS-PLG,Plugged Hole / Thread / Feature Blockage,UNKNOWN,MAPPED,Same target
Plant1-Claude,Belt Mark,SUBSTRATE,SUBSTRATE-BELTMARK,Belt Mark,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,MAPPED,Substrate mark mapped to damage category
Plant1-Claude,Misfill/Short Shot,SUBSTRATE,SUBSTRATE-MISFILL,Misfill/Short Shot,,,NOT IN DB,,NEW-SUBSTRATE,Die-cast substrate defect — not a coating defect. GLDC-specific. Recommend: incoming material taxonomy extension
Plant1-Claude,Pin Push,SUBSTRATE,SUBSTRATE-PINPUSH,Pin Push,,,NOT IN DB,,NEW-SUBSTRATE,Die-cast substrate defect. GLDC-specific
Plant1-Claude,Sink Mark,SUBSTRATE,SUBSTRATE-SINK,Sink Mark,,,NOT IN DB,,NEW-SUBSTRATE,Die-cast substrate defect. GLDC-specific
Plant1-Claude,Flash,SUBSTRATE,SUBSTRATE-FLASH,Flash,,,NOT IN DB,,NEW-SUBSTRATE,Die-cast substrate defect. GLDC-specific
Plant1-ChatGPT,Sharp Edge,SUBSTRATE,SUBSTRATE-SHARPEDGE,Sharp Edge,,,NOT IN DB,,NEW-SUBSTRATE,Die-cast deburring failure. GLDC-specific
Plant1-Claude,Tool Marks,SUBSTRATE,SUBSTRATE-TOOL,Tool Marks,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,MAPPED,Tool mark is mechanical damage — maps to DAM-SCR
Plant1-ChatGPT,Tool Marks,SUBSTRATE,TOOL-MARKS,Tool Marks,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,MAPPED,Same
Plant1-Claude,General Material Defect,SUBSTRATE,SUBSTRATE-GENERAL,General Material Defect,,,NOT IN DB,,NEW-SUBSTRATE,Catch-all for incoming material issues — needs incoming-material extension
Plant1-ChatGPT,Material Defect,SUBSTRATE,MATERIAL-DEFECT,Material Defect,,,NOT IN DB,,NEW-SUBSTRATE,ABM/JAC variant same gap
Plant1-ChatGPT,Material defects,SUBSTRATE,MATERIAL-DEFECT,Material Defect,,,NOT IN DB,,NEW-SUBSTRATE,JAC variant
Plant1-ChatGPT,Raw Defects,SUBSTRATE,RAW-DEFECT,Raw Defects,,,NOT IN DB,,NEW-SUBSTRATE,Polycon incoming variant
Plant1-ChatGPT,Over Sand,SUBSTRATE,OVER-SAND,Over Sand,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,MAPPED,Excessive sanding is mechanical damage
Plant1-Claude,General Paint Defect,PROCESS,PROCESS-GENERAL,General Paint Defect,,,NOT IN DB,,NEW-PROCESS,GLDC catch-all — should map to specific leaf on investigation. Avoid in digital taxonomy
Plant1-ChatGPT,STUCK,UNKNOWN,UNKNOWN,STUCK,DAM,DAM-RCK,Rack / Hanger / Contact Marks,UNKNOWN,MAPPED,Parts stuck on rack — same as Claude's mapping
Plant1-ChatGPT,Over Sand,UNKNOWN,UNKNOWN,Over Sand,DAM,DAM-SCR,Scratch / Abrasion Damage,ECOAT,MAPPED,Duplicate — already mapped above
Plant1-ChatGPT,Light Track @ Top,DAMAGE,TRACK-MARK,Track Mark,COV,COV-THN,Low Film Build / Light Coverage,UNKNOWN,MAPPED,Warren location-specific — "Light Track" is light coverage at track location. Map to COV-THN + location metadata
Plant1-ChatGPT,Light Track a@ bottom,DAMAGE,TRACK-MARK,Track Mark,COV,COV-THN,Low Film Build / Light Coverage,UNKNOWN,MAPPED,Same — normalize to COV-THN + location
Plant1-ChatGPT,Light Pulley @ top,DAMAGE,PULLEY-MARK,Pulley Mark,COV,COV-THN,Low Film Build / Light Coverage,UNKNOWN,MAPPED,Same — light coverage at pulley location
Plant1-ChatGPT,Light Pulley @ Bottom,DAMAGE,PULLEY-MARK,Pulley Mark,COV,COV-THN,Low Film Build / Light Coverage,UNKNOWN,MAPPED,Same
Plant1-ChatGPT,Heavy,COVERAGE,HEAVY-COAT,Excessive Film Build,COV,COV-THK,Excessive Film Build / Heavy Coat,UNKNOWN,MAPPED,Warren variant
Plant1-ChatGPT,Handling damage,DAMAGE,HANDLING-GENERAL,General Handling Damage,DAM,DAM-SCR,Scratch / Abrasion Damage,UNKNOWN,MAPPED,AGS GP12 catch-all maps to DAM-SCR
Plant1-ChatGPT,Dirt (Blk),CONTAMINATION,DIRT,Dirt / Particles,CON,CON-DST,Dirt / Dust / Particulate Contamination,UNKNOWN,EXACT,AGS GP12 variant — black dirt
Plant1-ChatGPT,Lt. cov,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,COV,COV-THN,Low Film Build / Light Coverage,UNKNOWN,MAPPED,AGS GP12 abbreviated variant
Plant1-ChatGPT,Off color,APPEARANCE,OFF-COLOR,Off Color / Discoloration,APP,APP-COL,Color Mismatch / Wrong Shade,UNKNOWN,MAPPED,AGS GP12 variant
Plant1-ChatGPT,Paint Defect,PROCESS,PAINT-DEFECT,General Paint Defect,,,NOT IN DB,,NEW-PROCESS,GLDC catch-all — same as Claude mapping. Avoid in digital taxonomy
Plant1-ChatGPT,FE,SURFACE,FISH-EYE,Fish Eyes,CON,CON-FIS,Fisheye / Cratering (Surface Tension),UNKNOWN,MAPPED,Abbreviated — same target
Plant2-Claude,Dirt,APP,APP-DIRT,Dirt/Contamination,CON,CON-DST,Dirt / Dust / Particulate Contamination,LIQUID,EXACT,Universal — appears on all 11 customer form families
Plant2-ChatGPT,DIRT,CON,CON-DIRT,Dirt / Dust,CON,CON-DST,Dirt / Dust / Particulate Contamination,LIQUID,EXACT,Same target — ChatGPT correctly placed in CON
Plant2-Claude,Sag/Run,APP,APP-SAG,Sag/Run,TEX,TEX-SAG,Runs / Sags / Curtains,LIQUID,MAPPED,Universal — appears on all 11 customer form families. Audit APP vs DB TEX
Plant2-ChatGPT,SAG/RUN,TEX,TEX-SAG,Sag / Run,TEX,TEX-SAG,Runs / Sags / Curtains,LIQUID,EXACT,ChatGPT correctly placed in TEX
Plant2-Claude,Orange Peel,APP,APP-OP,Orange Peel,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,LIQUID,EXACT,Appears on 7/11 customer form families
Plant2-ChatGPT,ORANGE PEEL,TEX,TEX-ORP,Orange Peel,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,LIQUID,EXACT,Same target
Plant2-Claude,Orange Peel - End Cap,APP,APP-OP,Orange Peel (Location Variant),TEX,TEX-ORP,Orange Peel / Poor Flow Texture,LIQUID,EXACT,Rollstamp/BMW location-specific — normalize to TEX-ORP + location metadata
Plant2-Claude,Orange Peel - Face,APP,APP-OP,Orange Peel (Location Variant),TEX,TEX-ORP,Orange Peel / Poor Flow Texture,LIQUID,EXACT,Rollstamp/BMW location-specific — normalize to TEX-ORP + location metadata
Plant2-Claude,Thin Paint,APP,APP-THIN,Thin Paint / Insufficient Coverage,COV,COV-THN,Low Film Build / Light Coverage,LIQUID,MAPPED,Appears on 9/11 customer form families. Audit APP vs DB COV
Plant2-ChatGPT,THIN PAINT,COV,COV-THN,Thin Paint,COV,COV-THN,Low Film Build / Light Coverage,LIQUID,EXACT,ChatGPT correctly placed in COV
Plant2-Claude,Thin Clear,APP,APP-THINCLEAR,Thin Clear Coat,COV,COV-THN,Low Film Build / Light Coverage,LIQUID,MAPPED,Appears on 8/11 customer form families. Same target as Thin Paint
Plant2-ChatGPT,THIN CLEAR,COV,COV-THN,Thin Clear Coat,COV,COV-THN,Low Film Build / Light Coverage,LIQUID,EXACT,Same target — clear coat variant of COV-THN
Plant2-Claude,Fiber,CON,CON-FIBER,Fiber/Foreign Material in Film,CON,CON-FOI,Foreign Object Inclusion (Embedded),LIQUID,MAPPED,Appears on 6/11 customer form families
Plant2-ChatGPT,FIBER,CON,CON-FOI,Fiber / Foreign Object,CON,CON-FOI,Foreign Object Inclusion (Embedded),LIQUID,EXACT,ChatGPT correctly placed
Plant2-Claude,Fish Eye,CON,CON-FISHEYE,Fish Eye / Cratering,CON,CON-FIS,Fisheye / Cratering (Surface Tension),LIQUID,EXACT,Metelix Hummer + Y2XX forms. Cross-plant match with Plant 1
Plant2-ChatGPT,FISH EYE,CON,CON-FIS,Fisheye / Cratering,CON,CON-FIS,Fisheye / Cratering (Surface Tension),LIQUID,EXACT,Same target
Plant2-Claude,Scratches,DAM,DAM-SCRATCH,Scratch / Abrasion,DAM,DAM-SCR,Scratch / Abrasion Damage,LIQUID,EXACT,Tesla buff and Metelix buff forms
Plant2-ChatGPT,SCRATCHES,DAM,DAM-SCR,Scratch,DAM,DAM-SCR,Scratch / Abrasion Damage,LIQUID,EXACT,Same target
Plant2-Claude,Hit,DAM,DAM-HIT,Hit / Impact,DAM,DAM-RCK,Rack / Hanger / Contact Marks,LIQUID,MAPPED,RW HIT on Metelix forms — hit during racking/handling
Plant2-ChatGPT,RW HIT,DAM,DAM-RCK,Rework Hit,DAM,DAM-RCK,Rack / Hanger / Contact Marks,LIQUID,MAPPED,Same target — Metelix prefix convention
Plant2-Claude,Blisters,BLS,BLS-OSM,Blisters / Osmotic Blistering,BLS,BLS-OSM,Osmotic Blistering,LIQUID,EXACT,Rollstamp/BMW and Tesla forms
Plant2-ChatGPT,BLISTERS,BLS,BLS-OSM,Blisters,BLS,BLS-OSM,Osmotic Blistering,LIQUID,EXACT,Same target
Plant2-Claude,Blisters/Pitmark,BLS,BLS-PIN,Blisters / Pinholes / Porosity,BLS,BLS-PIN,Pinholes / Porosity,LIQUID,MAPPED,Tesla form — combined blisters + pinholes. Map to BLS-PIN for porosity emphasis
Plant2-Claude,Popping,BLS,BLS-SOL,Popping / Outgassing,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,MAPPED,Rollstamp/BMW form
Plant2-ChatGPT,POPPING,BLS,BLS-SOL,Popping,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,MAPPED,Same target
Plant2-Claude,Outgassing,BLS,BLS-SOL,Outgassing,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,MAPPED,Tesla form — outgassing is solvent-pop mechanism
Plant2-ChatGPT,OUTGASSING,BLS,BLS-SOL,Outgassing,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,MAPPED,Same target
Plant2-Claude,Outgassing Popping,BLS,BLS-SOL,Outgassing Popping,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,MAPPED,KB Components form — same mechanism as outgassing
Plant2-ChatGPT,OUTGASSING POPPING,BLS,BLS-SOL,Outgassing Popping,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,MAPPED,Same target
Plant2-Claude,Solvent Pop,BLS,BLS-SOL,Solvent Pop,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,EXACT,Tesla GP12 form — direct match
Plant2-ChatGPT,SOLVENT POP,BLS,BLS-SOL,Solvent Pop,BLS,BLS-SOL,Solvent Pop / Microblistering,LIQUID,EXACT,Same target
Plant2-Claude,Delamination,ADH,ADH-INT,Intercoat Delamination,ADH,ADH-INT,Intercoat Delamination,LIQUID,EXACT,Rollstamp/BMW form — "DELAM." abbreviation
Plant2-ChatGPT,DELAM.,ADH,ADH-INT,Delamination,ADH,ADH-INT,Intercoat Delamination,LIQUID,EXACT,Same target
Plant2-Claude,Bad Masking,MAS,MAS-MSK,Masking Failure,MAS,MAS-MSK,Masking Failure / Tape Pull,LIQUID,EXACT,Rollstamp/BMW form
Plant2-ChatGPT,BAD MASKING,MAS,MAS-MSK,Bad Masking,MAS,MAS-MSK,Masking Failure / Tape Pull,LIQUID,EXACT,Same target
Plant2-Claude,Overspray,MAS,MAS-OVR,Overspray,MAS,MAS-OVR,Overspray / Blowby,LIQUID,EXACT,Metelix Hummer + Y2XX forms
Plant2-ChatGPT,OVERSPRAY,MAS,MAS-OVR,Overspray,MAS,MAS-OVR,Overspray / Blowby,LIQUID,EXACT,Same target
