FileName,FunctionalCategory,PlatformEntity,KeyFields,ProposedDBMapping,APIMapping,UIScreen
8.2.1.1 Powder Line Forms/8.2.1.1.36 Manual-Gun Painter Parameters Template.xlsx,PROCESS CONTROL,ProcessControl,Customer:; Part Colour:; Part Number:; Voltage [kV]; Powder Quantity [%]; Line Speed:; STATION/GUN; Recipe Name:; Total Air [Nm3/hr]; Current Limitation [uA]; Preferred Gun Distance [m],"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
8.2.1.1 Powder Line Forms/8.2.1.1.37 Powderline Checklist.xlsx,PROCESS CONTROL,ProcessControl,Close Drains; Clean screens; Clean Nozzles; Fill stage 2+4; Close fill valves; Set fill switch to auto; Drain and Rinse stage 2+4,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
8.2.1.1 Powder Line Forms/8.2.1.1.4  Setup Verification Form.xlsx,PROCESS CONTROL,ProcessControl,Time; Oven Temps Correct (Y/N); Shift; Customer; Date (mm/dd/yy); Line Speed; Correct Paint Recipe Loaded (Y/N); Setup Verification; Supervisor Sign Off; Paint Booth Cleaned (Y/N); Washer Stages Correct (Y/N); Powder Colour Verification (Y/N),"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
8.2.1.1 Powder Line Forms/8.2.1.1.5 Offline Load Sheet.xlsx,PRODUCTION TRACKING,ProductionRun,ReWork Parts; Quantity Loaded; Quantity Rejected; Operator Initials; Date:; Customer; RAW Parts; Rejection Description (Defect); Shift (M/D/A); Customer P.O.#; Part # (or Description); Powder Offline Load Sheet; Price/Unit ($)if applicable,"NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.1 Powder Line Forms/8.2.1.1.8 Offline Paint Record.xls,PRODUCTION TRACKING,ProductionRun,UNKNOWN,"NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.1 Powder Line Forms/8.2.1.1.9 Part Load Sheet.xls.xlsx,PRODUCTION TRACKING,ProductionRun,Reject Quantity; Operator Initials; Customer; Quantity; Stop Time; Time Lost; Ending Load Bar of Colour Run:; Load Sheet; Restart Time; Starting Load Bar of Colour Run:; Shift (M/D/A); Rejection Description; Part # (or Description); Reason; Paint Colour (note colours changes only),"NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.2 ECoat Line Forms/8.2.1.2.1 Ecoat Daily Checklist-edit.xlsx,PROCESS CONTROL,ProcessControl,DATE; Stage; Status; Method; Cell #1; Parameter; UF System; Flow Meter; Requirement; Permeate Flux; 3.5 gpm +/- .5,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,E-Coat Daily Process Checklist
8.2.1.2 ECoat Line Forms/8.2.1.2.10 Out of Specification Reaction Form.xlsx,NCR / DISPOSITION,NCR,Operator Initials; Date; Retest Time; Stage; Specification; Retest Condition; Out of Spec Reading; Notify Supervisor? Y/N; Adjustment Made (explain); OUT OF SPECIFICATION REACTION FORM,"quality.NonConformanceReport.* (Description, QuantityAffected/Rejected/Inspected, DefectTypeId, CustomerId, PartId, LotNumber, DispositionCodeId) + quality.NcrDisposition + workflow.ActionItem (containment/investigation tasks)",EXISTING,NCR Intake / Disposition
8.2.1.2 ECoat Line Forms/8.2.1.2.11 Daily Lab Analysis Template -edit .xlsx,LAB / CHEMISTRY,LabChemistry,Stage; Month:; Material; Parameter; Free Alk.; 18.5-21.5mL; Specification; Gardoclean S5176 Alkaline Spray Cleaner,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/8.2.1.2.11 Daily Lab Analysis Template.xlsx,LAB / CHEMISTRY,LabChemistry,DATE; Material; Parameter; Free Alk.; 18.5-21.5mL; Specification; See the Note below for Specification; Gardoclean S5176 Alkaline Spray Cleaner; Gardoclean S5176 Alkaline Immersion Cleaner,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/8.2.1.2.15 Amps Tracking.xlsx,PROCESS CONTROL,ProcessControl,Bar; Time; Amps; Date; Part: AGS Large Brackets; Notes; Shift; # of Racks; # of parts; AVG Amp/Bar; AmpHour/Hour; Part: Tiercon Wings; Part: Tiercon Bumpers; >>; Tech; #DIV/0!; Difference; Amp Hour Diff; Total Amp Hours; Hours Production,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,E-Coat Daily Process Checklist
8.2.1.2 ECoat Line Forms/8.2.1.2.17 E-coat Tank Flow Chart.xlsx,PROCESS CONTROL,ProcessControl,RO; H2O; Screen; Boiler; City Drain; Motor Check; Weekly Purge; Heat Exchanger; Water Treatment; Chemical Metering; Filter Inspection; Chemical Additives; Permeate Ultra Filter; Water Break Inspection; Secondary Heat Exchanger,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,E-Coat Daily Process Checklist
8.2.1.2 ECoat Line Forms/8.2.1.2.19 E-Coat Load Sheet.xlsx,PRODUCTION TRACKING,ProductionRun,Load Bar #; #Rejected Parts; # OF RAW PARTS LOADED; Date:; Shift:; CUSTOMER; Operator:; PART NUMBER; # OF RAW PARTS MISSING AT UNLOAD; E-Coat Load Sheet; YES; Days; Dumur; Amino; EER Box; BDA-029E; Accurate; START BIN; Accurcast; Midnights; Afternoons; MapleStamping; 13429(AB)-48065; END/START OF BIN; Blue Light Status,"NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.2 ECoat Line Forms/8.2.1.2.2 Pre-Treat Daily Checklist edit .xlsx,PROCESS CONTROL,ProcessControl,DATE; Stage; Status; Visual; Method; Parameter; Tank Level; Above Weir; Requirement; Stg. 1 Spray Clean,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,E-Coat Daily Process Checklist
8.2.1.2 ECoat Line Forms/8.2.1.2.20 Test Part Procedure Ecoat.xlsx,None/Reference,None/Reference,DATE; Material; Parameter; Free Alk.; 18.5-21.5mL; Specification; Gardoclean S5176 Alkaline Spray Cleaner; Gardoclean S5176 Alkaline Immersion Cleaner,UNKNOWN,NEW,Reference / None
"8.2.1.2 ECoat Line Forms/8.2.1.2.21 PNB,PPH Sheet.xlsx",None/Reference,None/Reference,Date; Gallons of PPH added; Other Additions; Gallons of PNB added,UNKNOWN,NEW,Reference / None
8.2.1.2 ECoat Line Forms/8.2.1.2.22 Metering Pump Control Sheet.xlsx,PROCESS CONTROL,ProcessControl,TANK; Stroke; Parameter; Gardoclean S5176 Alkaline spray Cleaner; Gardoclean S5176 Alkaline Immersion Cleaner,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,E-Coat Daily Process Checklist
"8.2.1.2 ECoat Line Forms/8.2.1.2.23 BASF Process database DO NOT USE, FILL OUT 2022.xlsm",LAB / CHEMISTRY,LabChemistry,Temperature; Temperature °F; pH; DATE; TIME; SHIFT; OPERATOR; Conductivity (µS/cm); STDEV; Stage 5; Average; #DIV/0!; Stage 3; Stage 6; Stage 7; Stage 8; Stage 2; Stage 4; Stage 9; Stage 10; Free Acid; Tank Level; Gas Points; Total acid; Iron Points,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/8.2.1.2.24 BASF PB Ratio Dennis.xlsx,LAB / CHEMISTRY,LabChemistry,Time; Date; Batch#; KM; WA; %NV; Amar; Tech; Tank#; 9:00AM; E-COAT; % NV =; #DIV/0!; % Pigment; EQUATIONS; May 20/16; May 19/16; Product #; Avg sample values; DRY PAINT WT X 100,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/8.2.1.2.25 Ecoat Filter Change Log.xls,MAINTENANCE / PM,Maintenance,UNKNOWN,"NEW maintenance.MaintenanceLog (PlantId, EquipmentId, TaskId, PerformedDateTime, PerformedBy, VerifiedBy, Notes)",NEW,Maintenance / PM Log
8.2.1.2 ECoat Line Forms/8.2.1.2.26 Ecoat Daily Temp Log.xlsx,PROCESS CONTROL,ProcessControl,Shift Times; Cure Oven 380˚-415˚F; Daily Temperature Log; Time; Shift; Date:; Operator; Name:; Created; Changes; Comments; Doug Thomas; Megan Rumble; Tank 4 <100˚ F; Tank 9 90˚-98˚ F; Boiler 167˚-172˚F; Tank 1 120˚-160˚ F; Tank 2 120˚-160˚ F; Tank 5 110˚- 130˚ F; Added AMP hours information.,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,E-Coat Daily Process Checklist
8.2.1.2 ECoat Line Forms/8.2.1.2.27 Tank Cleaning Record.xlsx,MAINTENANCE / PM,Maintenance,Date Dumped; Tank #; COMMENTS; Chemical Additions; Tank Cleaning Record,"NEW maintenance.MaintenanceLog (PlantId, EquipmentId, TaskId, PerformedDateTime, PerformedBy, VerifiedBy, Notes)",NEW,Maintenance / PM Log
8.2.1.2 ECoat Line Forms/8.2.1.2.28 Rejected Material Disposition Log.xls,NCR / DISPOSITION,NCR,UNKNOWN,"quality.NonConformanceReport.* (Description, QuantityAffected/Rejected/Inspected, DefectTypeId, CustomerId, PartId, LotNumber, DispositionCodeId) + quality.NcrDisposition + workflow.ActionItem (containment/investigation tasks)",EXISTING,NCR Intake / Disposition
8.2.1.2 ECoat Line Forms/8.2.1.2.29 Part Fallout log.xlsx,NCR / DISPOSITION,NCR,PART DEFECTIVE (Y/N); QUANTITY OF PARTS FOUND; DATE; CUSTOMER; RACK TYPE; PART NUMBER; PART FALLOUT LOG; CAN BE REWORKED (Y/N); STAGE,"quality.NonConformanceReport.* (Description, QuantityAffected/Rejected/Inspected, DefectTypeId, CustomerId, PartId, LotNumber, DispositionCodeId) + quality.NcrDisposition + workflow.ActionItem (containment/investigation tasks)",EXISTING,NCR Intake / Disposition
8.2.1.2 ECoat Line Forms/8.2.1.2.3 BASF Test Tracking.xlsx,LAB / CHEMISTRY,LabChemistry,DATE RETURNED; BASF TEST TRACKING; EXPECTED RETURN DATE; SENT; COMMENTS,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/8.2.1.2.30 Ecoat House Keeping.xlsx,MAINTENANCE / PM,Maintenance,Notes; Shift; Morning Shift; Afternoon Shift; Days; Area; Week 2; Week 5; Week 3; Week 1; Monday; Week 4; Supervisor; Settling Tank; Vaccum the inside and clean the outside; Stage 5 Filter Press and Heat Exchangers; Clean the area and wipe down the exchangers,"NEW maintenance.MaintenanceLog (PlantId, EquipmentId, TaskId, PerformedDateTime, PerformedBy, VerifiedBy, Notes)",NEW,Maintenance / PM Log
8.2.1.2 ECoat Line Forms/8.2.1.2.4 Chemical Addition to E-Coat Line Stage 9 and Stage 11.xlsx,LAB / CHEMISTRY,LabChemistry,Date:; Gallons of PPH added; Other Additions; Gallons of PNB added; Chemical Addition To E-Coat Stage 9 and Stage 11,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/8.2.1.2.5 Pigment Binder Ratio.xlsx,LAB / CHEMISTRY,LabChemistry,Batch#; %NV; Ecoat; Tank#; #DIV/0!; % Pigment; Product #,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/8.2.1.2.6 E-coat Lab Inventory.xlsx,LAB / CHEMISTRY,LabChemistry,Within Exp Date; drum; Order; 1/2 box; box/100; 3 Drums; Min on hand; Actual on Hand; GardocleanS5176; Unit of Measure; Weight dishes - 17805T64,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.2 ECoat Line Forms/Edit PB Ratio.xlsx,LAB / CHEMISTRY,LabChemistry,Jun; Stage; Ecoat; % NV :; Month:; Product:; Tank # :; Parameter; Dish Sample; 17.0-21.0 Target- 19,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.1 Powder Unload Sheet.xlsx,PRODUCTION TRACKING,ProductionRun,Operator Initials; Initials; Customer; UNLOAD SHEET; Shift (M/D/A); Time Stopped:; Time Restart:; # Of Parts Packed; POWDER UNLOAD SHEET; Part # (or Description); Reason; Approval Tag #,"NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.10 Certification Labels.docx,PACKAGING / SHIPPING,PackagingHold,CERTIFIED; CERTIFIED  DATE; DATE; OPERATOR; PART; REASON,"NEW shipping.ShipmentRelease (PlantId, CustomerId, PartId, LotNumber, ReleaseStatus, CustomerApprovalRequired, CustomerApprovalReceivedDate, LinkedNcrId) + label templates",NEW,Packaging / Labels / Ship-Release
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.11 Blank GP 12 Testing Form.xlsx,GP-12 / CONTAINMENT,NcrContainmentAction,Customer:; Paint Date; Date Audit; PART NUMBER:; Bad Quantity; Good Quantity; Auditor initials; Reason; GP12 INSPECTION FORM; Select Finishing Approved Tag #; RECORD TOTAL QTY Audited PER TAG/BIN,"quality.NcrContainmentAction (ContainmentTypeId, HoldLocation, QuantityContained, CompletedBy, CompletedDate) + link to quality.NonConformanceReport",EXISTING,GP-12 / Containment Tracking
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.12 Needs GP12 Tags.docx,GP-12 / CONTAINMENT,NcrContainmentAction,UNKNOWN,"quality.NcrContainmentAction (ContainmentTypeId, HoldLocation, QuantityContained, CompletedBy, CompletedDate) + link to quality.NonConformanceReport",EXISTING,GP-12 / Containment Tracking
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.13 GP12 Flow.docx,GP-12 / CONTAINMENT,NcrContainmentAction,CUSTOMER; PART; VERIFY,"quality.NcrContainmentAction (ContainmentTypeId, HoldLocation, QuantityContained, CompletedBy, CompletedDate) + link to quality.NonConformanceReport",EXISTING,GP-12 / Containment Tracking
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.14 Certification Log.xlsx,PACKAGING / SHIPPING,PackagingHold,Quantity Rejected; Part#; Date:; Time Started; Time Finished; Original Quantity; Auditing Operator; Quantity Acceptable; Reason for Rejection; Number of operators sorting; Approval Tag #; Certification Log,"NEW shipping.ShipmentRelease (PlantId, CustomerId, PartId, LotNumber, ReleaseStatus, CustomerApprovalRequired, CustomerApprovalReceivedDate, LinkedNcrId) + label templates",NEW,Packaging / Labels / Ship-Release
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.15 Verified Certified Label.docx,PACKAGING / SHIPPING,PackagingHold,CERTIFIED; CERTIFIED  DATE; DATE; OPERATOR; PART; REASON; VERIFIED BY,"NEW shipping.ShipmentRelease (PlantId, CustomerId, PartId, LotNumber, ReleaseStatus, CustomerApprovalRequired, CustomerApprovalReceivedDate, LinkedNcrId) + label templates",NEW,Packaging / Labels / Ship-Release
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.16 Raw Traceability Form.xlsx,LAB / CHEMISTRY,LabChemistry,Part#; Date:; Initials; Customer; Quantity; Shift (M/D/A); Line; Serial #; Raw Traceability Form,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.17 Trial Inspection Form.xlsx,QUALITY INSPECTION,Inspection,Date; Customer; Cure Setting; Film Thickness recommended Thickness; Sample 7; Sample 2; Sample 3; Sample 1; Sample 9; Sample 5; Sample 8; Sample 4; Sample 6; Sample 10; Program/ Material; SAMPLE TRIAL DATA,"NEW inspection.InspectionRecord (PlantId, LineTypeId, CustomerId, PartId, LotNumber, InspectionDateTime, ShiftId, InspectorUserId, QuantityInspected, QuantityRejected) + NEW inspection.InspectionDefect (DefectTypeId, Count, LocationCode/Notes)",NEW,Inspection & Defect Entry
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.18 Serial number tracebility.xlsx,LAB / CHEMISTRY,LabChemistry,Date; Part #; Initials; Customer; Saved; Last Serial # printed; SERIAL NUMBER TRACEABILITY,"NEW lab.BathAnalysis (PlantId, LineId, TankId, SampleDateTime, ParameterId, ResultValue, SpecMin, SpecMax, ActionTaken, VerifiedBy)",NEW,Lab / Bath Chemistry Entry
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.19 E-Coat Crash Report- Supervisor.xlsx,NCR / DISPOSITION,NCR,Date Revised:; Date Created: 04/25/2025; Process Information; Standardized Report; Product Line: E-Coat; Created by: Maitrik Sheth,"quality.NonConformanceReport.* (Description, QuantityAffected/Rejected/Inspected, DefectTypeId, CustomerId, PartId, LotNumber, DispositionCodeId) + quality.NcrDisposition + workflow.ActionItem (containment/investigation tasks)",EXISTING,NCR Intake / Disposition
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.2 Ecoat Unload Sheet.xlsx,PRODUCTION TRACKING,ProductionRun,Operator Initials; # Of Parts Scrapped; Initials; Customer; Shift (M/D/A); Time Stopped:; Time Restart:; # Of Parts Packed; ECOAT UNLOAD SHEET; Part # (or Description); Reason; Verified by; Approval Tag #,"NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.20 E-Coat Crash Report- Techs.xlsx,NCR / DISPOSITION,NCR,Date Revised:; Date Created: 04/25/2025; Process Information; Standardized Report; Product Line: E-Coat; Created by: Maitrik Sheth,"quality.NonConformanceReport.* (Description, QuantityAffected/Rejected/Inspected, DefectTypeId, CustomerId, PartId, LotNumber, DispositionCodeId) + quality.NcrDisposition + workflow.ActionItem (containment/investigation tasks)",EXISTING,NCR Intake / Disposition
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.3 Offline Unload Sheet.xls,PRODUCTION TRACKING,ProductionRun,UNKNOWN,"NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.4 Powder General Inspection and Testing.xlsx,QUALITY INSPECTION,Inspection,"DATE:; Operator ID; Shift (M/D/A); Part # / Description; Colour; Accept? Yes/No; Sample 1 (East); Sample 2 (West); Sample 3 (East); Sample 4 (West); Sample 5 (East); Paint Coverage ü; Visual Inspection; Hardness ü see 8.3.1.14.60; Solvent Rub ü see 8.3.1.14.5; Gloss if req, see 8.3.1.2.2.13; Adhesion (Cross hatch) ü See8.3.1.14.6 and 7","NEW inspection.InspectionRecord (PlantId, LineTypeId, CustomerId, PartId, LotNumber, InspectionDateTime, ShiftId, InspectorUserId, QuantityInspected, QuantityRejected) + NEW inspection.InspectionDefect (DefectTypeId, Count, LocationCode/Notes)",NEW,Inspection & Defect Entry
