GapId,Gap,Finding,Impact,Evidence,Confidence
11,Disposition Gap,No evidence that disposition requires customer approval gate in the same record (when required).,Risk of shipping unapproved deviations or losing approval evidence.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.10 Certification Labels.docx + GP12 docs (no approval ID); 8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.13 GP12 Flow.docx,Medium
12,Temporal Gap,Many forms are stale (older than 2 years; some since 2016) with no enforced retirement process visible in package.,Obsolete work instructions and outdated requirements can remain in circulation.,ai_indexes/forms_manifest.csv | 43 files have last_modified_utc older than 2 years (as-of 2026-02-24); some as old as 2016,High
13,Temporal Gap,"Duplicate/superseded clusters exist (e.g., '-edit' copies).",Users can pick the wrong template; revision control is not trustworthy.,ai_indexes/duplicate_revision_map.csv | 5 duplicate/superseded clusters (including '-edit' copies),High
14,Digital Readiness Gap,Some Excel templates are structurally hostile (extreme merged cell usage).,Automated migration and reliable UI replication become expensive; errors likely.,8.2.1.2 ECoat Line Forms/8.2.1.2.24 BASF PB Ratio Dennis.xlsx | merged cell ranges ≈ 69538 (hostile to digital parsing),High
15,Digital Readiness Gap,Legacy .xls files are present and not parsed in the package index.,Evidence gaps; high chance critical records live in formats that won’t migrate cleanly.,"Multiple .xls marked LEGACY_XLS_NOT_PARSED in ai_indexes/sheet_index.csv (e.g., 8.2.1.1.17, 8.2.1.1.18)",Medium
16,Cost Visibility Gap,"Scrap/rework decisions are recorded but not tied to cost fields (labor, material, customer chargeback) on the same record.",Cost-of-poor-quality requires manual reconciliation.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx | Sheet DEFECT TRACKING Q3='Scrapped'; 8.2.1.2 ECoat Line Forms/8.2.1.2.29 Part Fallout log.xlsx | Sheet1 A2='PART FALLOUT LOG' (no NCR field found) (no cost fields found),Medium
17,Competency Gap,"Operator/inspector identity is inconsistent and not referenceable (initials, sometimes missing).",No way to enforce qualification gating or analyze defect vs competency.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx | Operator Initials; 8.2.1.1 Powder Line Forms/8.2.1.1.9 Part Load Sheet.xls.xlsx | Operator Initials,High
18,Calibration Gap,"Inspection/test records don’t capture instrument ID/cal status (film build, adhesion etc.).",False acceptance risk and inability to defend measurements during audits/complaints.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.4 Powder General Inspection and Testing.xlsx | Sheet1 I2 instruction for film build readings but no gauge/calibration reference field detected,High
19,Calibration Gap,Calibration evidence exists (gauge check logs) but is not linked to the measurement results that depend on it.,You can’t prove measurement validity for a given inspection record.,8.2.1.1 Powder Line Forms/8.2.1.1.29 Offline Booth Pressure Differential Gauge Check Sheet.xlsx | 'Pressure Differential Gauge Check Sheet' includes DATE/INITIALS but not linked to any inspection/test record,Medium
20,Shipping-Release Gap,Certification labels capture date/part/operator but no lot/load/run linkage.,Shipment release evidence can’t be tied back to production/inspection records.,"8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.10 Certification Labels.docx | DOCX label contains DATE, PART #, OPERATOR, REASON; no Lot/Run/Load ID",High
21,Shipping-Release Gap,GP-12 flow exists as a document but there’s no traceable GP-12 state per lot/run in the records.,Early production containment can’t be audited digitally; exit criteria may be missed.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.13 GP12 Flow.docx | GP12 Flow doc references tagging/nonconforming handling but no record identifier / linkage mechanism,Medium
